company_name,job_title,job_role,job_requirement,salary
HP PPS ASIA PACIFIC PTE. LTD.,Asia Pacific Country Facing Commercial Channel Sales Manager,"HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives. We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works. At HP, the future is yours to create! If you are our Asia Pacific Country Facing Commercial Channel Sales Manager in Singapore, you will have a chance to:  Lead a team of 3 Business Development Managers Be a Conduit to category's team at the region.  Align on rolling quarterly and half yearly category priorities Develop Go-To-Market plan Established metrics, owner and timeline Lead and drive monthly cadence/interlock with category for regular progress update Sub Region Lead: Main Interface with Country Work with In-Country Channel and Small and Medium Business (SMB) lead to ensure execution is aligned to region's directions for business growth and best partner experience Be the champion for his/her assigned countries Engage and Integrate closely with region team's programs managers to align on quarterly/half yearly priorities and metrics Establish fortnightly cadence with country, with close loop actions and progress tracker Commercial Channel: Ensure channel health hygiene - Partner quota range check, executive sponsorship, partner experience and escalations Partner segmentation/profiling Optimized sales coverage Initiative effective Channel programs Partner Business Managers and Partner training Grow 10,000 National account through channel  Validate partner quota loading and ensure within range SMB Strategy/Execution: Execute SMB channel strategy with country Execute to SMB Program governance framework ","Requirements  At least 15 years of experience in Commercial Channel and SMB segment: Sales and Marketing. At least 8 years experience in managing a team Minimum 10 years of experience in sales and/or marketing to commercial customers, preferably in an IT company in PC or Print categories Prior country and regional sales and marketing experience with Commercial Channel and SMB segment Demonstrates an in-depth knowledge of Commercial/SMB market, customer and channel landscape Good knowledge of IT commercial channel business, retail and online sales Recognized as an IT sales and marketing leader that is strategic, analytical, highly skilled and articulate.  HP is a Human Capital Partner – we commit to human capital development and adopting progressive workplace practices in Singapore. ","$7,000 - $12,000"
KERRY CONSULTING PTE. LTD.,APAC Business Analyst – Specialty chemicals,"• Global specialty chemicals MNC • Finance business partnering • Office in West of Singapore  This is a leading player in the specialty chemicals MNC, specializing in flavors. Consistently lauded for its innovation and significant market share, there is now an exciting opportunity for a high calibre Business Analyst to join their team in Singapore covering the Asia Pacific region.   Reporting to the Head of Strategy based in Singapore, you will be involved in a wide range of activities, including strategic planning and analysis, providing finance support including pricing to help drive regional business performance as well as identifying and evaluating potential growth opportunities. This is a highly visible role where you will partner senior management and work closely with business teams across APAC. ","The successful candidate will possess a degree in accountancy/finance/ mathematics, ideally with 3-6 years of experience in a financial/business analysis capacity. Prior exposure to cost analysis in a manufacturing setting will be highly advantageous. You are commercially astute, strategic in outlook and thrive in a fast-paced dynamic environment. You are highly confident and possess excellent interpersonal and communication skills.  To apply, please submit your resume (in word format) to Alsa Chia at AL@kerryconsulting.com, quoting the job title and reference number AL14134. Only successful shortlisted candidates will be notified.   Licence No: 16S8060 Registration no: R1765623    Type of Work: Permanent Region: Singapore Licence No: 16S8060",None
ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Inside Sales Manager,"A leading MNC Technology organization is looking for an Inside Sales Manager:  Efficiently manage a full sales process from prospecting, qualification to deal closure and contract execution Effectively use their social media skills and industry network to reach new clients in target industries Handle inbound and outbound pre-sales communications with customers and partners Ability to identify opportunities during the qualification process Conduct discovery to uncover customer pain points and business goals  Clearly articulate tech solutions & their value into meaningful conversations with targeted prospects including the ability to explain industry specific use-cases Work collaboratively and support Sales and Marketing teams in achieving their objectives. Develop and maintain an agreed cadence of out-bound sales and account management activity ", At least 3-4 years in Sales/Inside Sales/Account Management Sales in Technology companies Understands the sales process and has made improvements before. ,"$6,000 - $9,000"
NEWSTEAD TECHNOLOGIES PTE LTD,IT Helpdesk," Provide first level contact and convey resolutions to customer issues Properly escalate unresolved queries to the next level of support Track, route and redirect problems to correct resources Update customer data and produce activity reports Walk customers through problem solving process Follow up with customers, provide feedback and see problems through to resolution Utilize excellent customer service skills and exceed customers’ expectations Ensure proper recording, documentation and closure Recommended procedure modifications or improvements ", Diploma in Computing or IT related field Minimum 2 years relevant experience Experience in Microsoft Office Software Basic hardware and network knowledge Understand Windows OS and Apple Mac OS Asset Management ,"$2,800 - $3,000"
Methodist Welfare Services,Nurse Clinician,"The job-holder leads coordinates and implements care, teaching and counselling to ensure personalized and cost-effective care is provided by nursing staff to residents in accordance to established policies and procedures, standards of nursing care and practices.  Responsible for clinical practice and staff competency in the ward assigned.   Duties and responsibilities Primary Responsibilities and Duties (80%)  Assesses, plans, implements and evaluates care of resident with complex healthcare needs according to updated standards of nursing practice. Conducts teaching and counselling for residents and their families/care-givers Initiates and ensures implementation of discharge planning for residents with potential for discharge. Ensures residents care delivery is carried out according to established standards of care and practice. Ensures written policies and SOP is available and up to date to guide nursing practices. Ensures smooth transition of residents from acute to chronic care and back to community where possible. Conducts nursing audits on nursing care standards and initiates strategies to resolve non-adherence issues. Directs and facilitates staff development, skills and competency upgrading through in-house training, approved online learning or formal education opportunities. Guides orientation/induction programmes and preceptorship for new staff.  Secondary Responsibilities and duties (20%)  Acts as a resource person to the nurse manager in clinical nursing and nursing training matters. Promotes evidence-based practices or nursing care delivery. Demonstrates awareness of current nursing and health care practices Monitors and analyzes trends and changing needs of residents in institutional settings. Conducts quality improvement/research projects Champions training/quality improvement projects           Contributes to performance appraisals of staff nurses, assistant nurses, nursing aides and healthcare assistants. Takes on additional responsibilities or tasks as assigned by Senior Nurse Manager/Director of Nursing.   ",Qualifications  Locally Trained Registered Nurse with Advanced Diploma in Nursing/Bachelor’s degree in Nursing or equivalent preferred. Registered with Singapore Nursing Board.    Working conditions  Ward environment in a Nursing Home    Physical requirements  Physically fit    Competencies Core competencies   Maintaining nursing standards Ensuring clinical effectiveness Management of emergency situations Quality Improvement and risk management  Technical Competencies   Basic computer skill  Leadership Competencies   Ability to lead a team Clinical leadership of nursing practices To develop and lead a team competent and dedicated staff ,"$4,700 - $7,000"
SHALOM INTERNATIONAL MOVERS PTE. LTD.,Operations Manager," Liaise with COO to make decisions for operational activities and set strategic goals Plan and monitor the day-to-day running of business to ensure smooth progress Evaluate regularly the efficiency of business procedures according to organizational objectives and apply improvements Manage procurement processes and coordinate material and resources allocation Oversee customer support processes and organize them to enhance customer satisfaction Revise and/or formulate policies and promote their implementation Manage relationships/agreements with external partners/vendors Evaluate overall performance by gathering, analyzing and interpreting data and metrics Ensure that the company runs with legality and conformity to established regulations Plan and implement designs for operations Other duties as assigned ",Any studies related to the function of logistic and supply chain will be supported. Recommended field of studies: -Logistic management -Supply Chain management Minimum Class 3 Driving License is required Minimum 3 years experience as an Assistant Operations Manager,"$3,000 - $4,500"
LOURDES GAVIN PTE. LTD.,Production Technician (Chemicals / Materials), Support all production processes & equipment Guide and train compounders Lead projects as assigned and provide support as required Compound fragrances in accordance to SOP Support the shift team to achieve target set Participate as member in Total Productive Management team , Diploma holder in Chemical Engineering or its equivalent Knowledge of SAP is an added advantage Able to commit to shift works Proficient in Microsoft Office Proven leadership abilities Fast learner with production and/or automation background  Interested applicants please submit your resume to joepster.lim@lourdesgavin.com,"$1,700 - $2,300"
KELLY SERVICES (SINGAPORE) PTE. LTD.,Sr. Mobile Automation Test Engineer (Appium),"Responsibilities  Define and implement test automation strategy including roadmap, tools, framework & approach.   Implement, maintain and improve test automation frameworks   Actively work with development and infrastructure teams for integrating test automation as an integral part of Continuous delivery pipeline   Provide leadership, guidance, training and mentoring to implement test automation cross the organization   Carry out automation feasibility studies   Pro-actively seek to make continuous improvements to test coverage, execution and automation   Evaluate, select and formulate best usage of test automation tools for different purposes. ","Key Skills/ Experience Essential  Automation using Appium for iOS and Android platforms   Appium for automating Mobile Apps   Proven experience in defining and operationalization of test automation strategy   Proven experience in creating and implementing test automation frameworks for   Large-scale systems in agile development environment   Hands-on test automation experience, in a professional software development environment   In-depth knowledge of a variety of testing techniques and methodologies   A solid understanding of test-driven development, continuous integration, continuous delivery both in principle and in practice   Expertise of agile and waterfall testing methodologies and ALM tools such as JIRA, HP ALM, etc.   Experience in both Unit and Integration testing needs with exposure to data virtualization tools.   Experience in several test automation frameworks, e.g., Selenium, Appium   Demonstrated experience developing high quality test strategies and test execution specific focus on cross browser/OS and cross device testing.   Ability to create good acceptance and integration test automation scripts and integrate with Continuous integration and code coverage tools to ensure 80% or higher code coverage.   Excellent organization, communication, and interpersonal skills   Strong analytical and problem solving skills with the ability to work in an unstructured, fast-paced environment ","$7,000 - $10,000"
THATZ INTERNATIONAL PTE LTD,IT Support cum Audio Visual Engineers," Act as a single point of contact on conferencing and Mitel phone matters. Schedule, setup, test, monitor and troubleshoot video conferencing sessions Perform moves, add and changes for telecommunication equipment. Support users with issues or requests regarding Mitel phones. Recommend, place order, install and configure video conferencing units as when required. Troubleshoot and replace (RMA) faulty video conferencing equipment. Work closely with the AV Vendor to install and troubleshoot the issues. Identify and recommend opportunities to improve and enhance video conferencing services. Provide end user Audio/ Visual (A/V)/ Telepresence technical assistance troubleshooting. "," NITEC, Higher NITEC or Diploma in IT, Computer Science, Science, Engineering or related qualification. Experience in the installation, configuration and resolution of audio visual and conferencing issues. Experience in troubleshooting AV equipment and overseeing routine maintenance. Familiarity with audio-visual and collaborative meta tools & technology desired. Knowledge of Polycom and Tandberg conferencing system will be preferred Good understanding of Voice & Data solutions will be advantageous General knowledge of networking fundamentals. Possess good communication and interpersonal skills. Able to communicate well in Chinese (as some users are from Chinese speaking countries). ","$2,200 - $2,700"
NATIONAL UNIVERSITY HEALTH SYSTEM PTE. LTD.,Senior /  Staff Nurse,"The National University Health System (NUHS) will be operating Alexandra Hospital from 2018 and the 79-year-old institution will embark on its next phase of delivering an innovative model of care - one which centers integrated care around the person and led by a team of doctors, nurses and allied health professionals who work closely with the patient, family and community, on an comprehensive care plan in order to collectively bring about seamless care, better value and holistic outcomes.  We invite passionate and driven advocates to join us on this exciting transformational journey at the heritage campus. The job-holder is responsible to provide personalised, specialised and cost-effective care to the patients in accordance to established hospital policies and procedures, standards of nursing care and practices. Duties and Responsibilities   Assesses patients’ needs on admission and daily throughout their hospital stay Plans and implements care according to the assessed needs Evaluates and monitors patients’ progress according to planned care ", Registered Nurse Diploma in Nursing or Degree in Nursing from recognized training institution as approved by the Singapore Nursing Board Possess good interpersonal and communication skill Able to work 3 rotating shifts ,"$2,500 - $3,500"
THE SOFTWARE PRACTICE PTE. LTD.,Software Development Engineer,"The Software Practice is a technology company based in Singapore that builds software for clients and its own business. Our core strength is in building large and complex web and mobile applications. We’re a full service development firm who’ve launched several products working with clients from an idea to a prototype to production with real world users. In the past, we’ve built applications that have been used by hundreds of thousands of users. Our expertise lies in being able to architect stable, highly scalable and performant software for the web and mobile platforms. Our clients range from small start-ups looking to build and launch their product from scratch to  critical internal applications for Government organizations (like DSTA - the Defence Science and Technology Agency and BCA - the Building Construction Authority of Singapore). We've also built public facing web applications for the financial sector for some of SE Asia's major banks - DBS, OCBC and UOB. One of our more recent projects was the launch of mobile applications (iOS and Android) for the Malaysia Airports Holdings Berhad featuring flights, shopping information for passengers and indoor navigation for Kuala Lumpur International Airport.   We work on a number of technologies and tend to hire smart people who can pick up new tech-stacks and get things done quickly. Just in the last year, we've worked on projects using ReactJS, AngularJS, Python, ReactNative, .NET and Solidity.","We're trying to find exceptionally smart people with strong development skills and an avid interest in web/mobile development. You should be able to learn quickly and work independently - we'll help you as best as we can, but you must be tenacious and resourceful enough to figure out things you don't know how to do.  Solid programming ability in at least one language  Clear and precise written communication. A large part of our team works remotely and it's vital that you are able to document ideas, progress and problems with clarity so everyone can work asynchronously.  You must be happy to work independently (remote welcome) and be able to structure timelines, take ownership and responsibility and communicate clearly.  We're looking for people with under 5 years experience - fresh graduates welcome too.  Any experience in the one or more of the following is a definite plus:   Worked on complex non-trivial Javascript applications (please highlight JS framework experience - ReactJS, Angular, VueJS or others) Cross platform mobile development - particularly React Native Experience with AWS, Azure, Heroku or any other cloud platforms  Development in C#, Python  Web design experience - HTML/CSS and JS Native mobile development - Android/iOS  If you've built something in the past, do let us know. Github and/or StackOverflow profiles are welcome. You'll get to work in a fast-paced environment, with a great team of full-stack engineers who have a lot of experience in building large scale web applications from scratch.","$3,000 - $5,000"
SAMBO E&C CO. LTD (SINGAPORE BRANCH),Crawler Crane Operator, Opearating & maintaining of Crawler Crane at construction site. , Possess a valid Crawler Crane license. At least 5 years working experiences in construction work. Good working attitude. ,Salary undisclosed
X'PECT STUDIO PTE. LTD.,Senior Hairstylist, Customize treatment for customers Demonstrate and promote treatment sevices and products to customers Regular follow-up on customers' conditions Provide excellent service and create exceptional experience to customers Upkeep outlet cleaniness and equipment maintenance Maintains hair product knowledge , At least 2 years and above working experience as a Senior hair stylist ,"$3,500 - $4,000"
D.O.P. MOZZARELLA BAR PTE. LTD.,Management Trainee,1. MEET AND GREET GUESTS AND ORGANISE TABLE RESERVATION  2. ADVICE GUESTS ON MENU AND BEVERAGE CHOICE,1. AT LEAST 1 YEAR WORKING EXPERIENCE IN RESTAURANT,"$2,000 - $2,500"
M.TECH PRODUCTS PTE LTD,Regional Marcom Executive,"RESPONSIBILITIES:    Plan, organize and execute marketing events (eg. seminar, workshop, training, trade show, etc) Determine event budget and manage expenses to the planned budget   Work closely with vendors for event collaboration Support and execution of marketing related administration and reports Other related ad-hoc duties as assigned   ","  REQUIREMENTS:    Minimum Diploma/Degree in Business/Marketing or equivalent. Minimum 1 year of relevant experience in marcom or event management Possess good project management skills and able to manage multiple projects/tasks in a fast-paced environment Proficient in design software (Photoshop or Illustrator) will be an advantage Proficient in English and have strong communication and presentation skills    Interested candidates are invited to send with a detailed resume, stating current and expected salaries via  APPLY Now.   We regret that only shortlisted candidates will be notified.  ","$2,800 - $4,000"
SINGAPORE MANAGEMENT UNIVERSITY,"Senior Manager, Commercialization (3-year contract), IIE"," COMPANY DESCRIPTION  Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The ''family-like'' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.  RESPONSIBILITIES   Coordinate the call for proposal submission, evaluation and final presentation at the evaluation panels. Actively engage the faculty researchers on potential venture building opportunities, and assist them in the formation of the commercialization team. Facilitate post award activities for the awarded projects, including incubation space, mentor matching, relevant networking activities, training programmes, and IP/legal advices. Actively engage external stakeholders in the public and private sector to explore industry academia technology transfer and funding opportunities. Monitor the project progress and track the milestones related to the grant disbursement. Regular review of the performance of the programme and prepare management reports. Develop a long term plan to make this programme financially sustainable. "," University Graduate or advance degree in STEM or Business Management. At least 10 years of relevant work experience in the area of technology commercialization or innovation/entrepreneurship development. Past relevant experience and strong international network in the area of technology commercialization across public and private sectors, especially markets such as the USA and Greater China. Up to date with industry and technology trends. Commercially savvy and ability to structure deals and partnerships innovatively that promotes knowledge transfer and adoption. Effective communication, presentation & stakeholder management skills. Excellent project management and organizational skills. Acts with a sense of urgency to meet tight deadlines. Thinks beyond own area of responsibility examining linkages and interactions between different parts of a system. Prior experience working in a startup will be viewed favorably. ",None
SHOWSUITE PTE. LTD.,Back-End Web Developer,"  The Back-End Web Developer's Profile Showsuite is looking for someone who is dynamic and has an entrepreneurial spirit who has good intuition, good coding skills, disciplined and is willing to make pro-active improvements, willing to learn new skills and assist the team. The Back-End Web Developer's Responsibilities The Back-End Web Developer will need to be someone who is familiar and versatile with PHP, Laravel Framework and server side requirements. Someone who is familiar with both relational and non-relational databases and writing of APIs. Needs to be detailed and thourough.  Intermediate knowledge of front-end development is also required for integration work. Knowledge in Angular.js/Angular is an added advantage. We are looking for more than one candidate. If you think you have what it takes, apply with us. Only successful candidates will be notified."," Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent. Good Spoken English and can communicate well Team Player and Disciplined At least 3-5 Year(s) of working experience in the related field is required for this position. (Pay grade depends on experience and skill level) Proficient in Back-End Technologies, Server Side and Databases: PHP, Laravel, JavaScript, Python, MySQL, MongoDB ","$5,000 - $6,000"
BARRY CALLEBAUT CHOCOLATE ASIA PACIFIC PTE. LTD.,Category Buyer," Responsible for purchasing the logistic services (land transport, Warehousing, Sea Freight) for the Group in Asia Pacific (7 sites) Prepare and run tenders for logistic service dealing with all relevant stakeholders (service providers, internal customers and cross functional teams) Define terms and conditions, negotiate proposals and finalize contracts Manage service providers, follow market trends and legislative changes Provide input and expertise in all relevant improvement and development projects (footprint analysis, make or buy, cost efficiency, etc.) Implement purchasing policy and best practice "," University Degree Significant experience (at least 5 years) in transportation sourcing, supply chain or in a lead logistic provider Relevant skills in purchasing: negotiation, supplier management and procurement Analytical capabilities in order to manage cost analysis, budgets and reports Operational knowledge of different areas within Logistics & Supply Chain: transportation by land, air and sea, warehousing, distribution networks and complex logistics systems English language written and spoken fluently, any local languages are a plus Experience of Project Management Knowledge of e-auction platforms Ability to work in complex and international environments Operational autonomy but able to play in a team Excellent interpersonal communication (stakeholder management) Professionalism, discretion and reliability ","$7,700 - $8,500"
TRIPLE FIT PTE. LTD.,Membership Sales Consultant,"Purpose: To drive business membership input through agreed daily sales activities and assist coach on Point Of Sale Personal Training Accountabilities:  Drive membership input and adhere to company’s budgets and objectives Perform daily sales activity and follow sales process Strive to achieve the membership targets through fresh business and membership renewals on a monthly basis Take active part in promoting the brand in roadshows, outreaches and events Identify prospects’ needs and match them with services the company provides. Find new ways to promote and exceed sales targets. ",Functional: Experience in comparable position or demonstrated progress is desirable Industry: Fitness membership sales Exposure: Health & Fitness,Salary undisclosed
ROBERT WALTERS (SINGAPORE) PTE LTD,GLOBAL DEVOPS ENGINEERING LEAD (83440),"Our client is a global leader in managed networked IT services, operating globally and delivering locally to help customers thrive in a changing world.  They have over 1000 people dedicated to support both regional multinationals expanding globally and global Job responsibilities include:  The proactive and preventive operations function is responsible for ensuring the performance of the regional / global infrastructure and maintaining the processes to be able to accommodate significant changes to it (both technical and physical). The objective of this role is to support the Global NOC and Regional Proactive Operations teams in providing high quality, cost effective Network Services and Management to our client’s customer within the region, primarily by engineering, developing or integrating the tools required to automate solutions across various functions within Network Operations. Ability to establish cross-functional, collaborative relationships across the Global Network Operations Team so as to be able to recommend and implement automation solutions Manage and partner with technology vendors to deliver against business objectives Architect, build and maintain automation solutions across various Network Operations functions Ensures application and infrastructure architectural solutions are stable, secure and compliant with our client’s customer standards and practices Implement deep telemetry capabilities to provide ongoing success and performance metrics Implement and maintain system configurations and baselines to support secure application development software control best practices and standards Communicate clearly and concisely, both orally and in writing   ","Job requirements include:  The job holder should have strong skills in application development with a minimum of 5 years relevant experience.  The job holder will need a broad skill-set, coupled with the confidence and technical ability to consult at many levels.  Specifically, the experience should cover the following areas (a formal qualification in Computer Science would be beneficial):    A minimum of five years of experience in all of the following areas:  Experience in C# Experience with JavaScript framework (Vanilla JavaScript, JQuery, Bootstrap) Experience with the use IIS for deployment of web applications Demonstrated ability to design front end web applications with authentication/authorization using ASP.NET or other frameworks (e.g. Node.js) Knowledge of Single Page Application (SPA) web applications (Angular, React etc) Experience in the use of Web API Authentication/Authorization through the use of Active Directory Credentials with X509 Certificates Experience with running background scheduled tasks in .NET Experience in one or more of the following Web Programming languages: PHP, ASP, HTML5 Experience with databases such as Oracle, MySQL and MongoDB Experience with SOA based integration techniques using web services, XML/HTTPS, REST, or SOAP Experience with Version Control Systems like GIT Experience in designing, architecting and developing complex multi-tier applications Demonstrated ability to debug and optimize code as well as automate routine tasks Knowledge in application development and supporting a development environment Strong problem solving and analytical skills Strong Linux skills desirable Experience in Python or Perl desirable  Recruiter Name: Princess Uy EA License No: 12C5536 EA Registration No: No: R1103286 Kindly note that only shortlisted candidate will be notified. ",None
SLM VISIONCARE (SINGAPORE) PTE. LTD.,Sales & Marketing Associate,"The First risk-free vision recovery Company in Singapore!  Founded in 1990, SLM Visioncare is a modest vision recovery and training center aspiring to provide vision-care consultations and solutions. We have more than 500 branches in Hong Kong, China, Taiwan, Singapore, Malaysia and Indonesia. We have worldwide patented in risk-free vision recovery technology & hundred thousands of successful testimonials, helping customers, especially children, to recover eyesight from myopia, farsightedness, amblyopia, astigmatism and presbyopia.  We are expanding in Singapore, We’re hiring.  Position: Sales & Marketing Associate Job Responsibilities: Compile & follow-up on reports  and daily operating matters Handle centre marketing work following the standard operating procedures and workflows Build and maintain good rapport and communication with customers Marketing/Business Development:  marketing activities, online & offline Maintain and update customer database promptly. Conduct seminars, talks and speech Provide, record and conduct vision test and services for customers Liaise with external vendors and purchase of centre equipment and materials Perform other related duties as assigned by CEO","Job Requirements: Min Diploma/Degree in any subject (Marketing will be advantage) Possess good communication and patient-relations skills Able to work independently as well as in a team Salaries can be adjusted with relevant work experience Location: Jurong East or Paya Lebar Interested individuals, kindly send your resume with your latest photo to SLM.visioncare@gmail.com  And state your 1) Last drawn salary, 2) Expected salary 3) Reason for leaving previous job and 4) Interested position.  We regret that Only Shortlisted individuals will be notified via EMAIL for an interview.","$2,500 - $12,000"
CREDIT SUISSE AG,Full Stack Developer #116985,"Full Stack Developer #116985 Department Overview:   The APAC Technology and Change organization is responsible for the engineering and support of technology solutions, implementation of change programs, and the associated change, design and data governance for the APAC Division. The organization includes APAC Private Banking (PB) IT and Global Markets (GM) IT. APAC PB IT provides digital capabilities and technology solutions for the APAC Private Banking business, delivering front to back aligned, high quality IT solutions and services to support the growth and profitability of the Bank, ensure compliance, drive efficiency and further reduce complexity and cost. Our Digital Private Bank was launched in Asia in 2015 and has won numerous accolades. We have been awarded the ""Best Private Bank – Digital Experience"" for the second consecutive year by Asian Private Banker applauding us for being ""a true fintech pioneer in the private banking space"" and for our attention to client experience and the platform's advanced functionalities.   Role Description:   A number of new and exciting projects have been initiated within APAC PB IT, enabling you to directly contribute to the success of the business. Naturally, project details are commercially-sensitive but all our projects exhibit the following common features:   Significant engagement with product owners and user-interaction   Technical autonomy and innovation   Highly motivated and engaged development teams   High quality and commercial benefits   As an agile application developer you will work together with business users and members of the development team to provide quality systems that improve productivity, decrease operational risk, enable the business to expand and make users smile. These are high profile applications that offer you the opportunity to shape the future technical direction and take ownership for functional components.   Role Responsibility:   Design, develop, test, deploy and support high quality systems.   Become a strategic part of the CS business by building positive relationships with all business partners, understanding the challenges they face and using your technical expertise to deliver the systems we need.   Collaborate with the Product Owner closely to deliver solutions and to build user-centric banking applications for use by Clients/Relationship Managers/Support functions around the world.   Understand the different technology domains within the Bank and how the data across domains is interrelated.   Constantly analyze and improve the performance and quality of the product and team.   Be willing and able to adapt to changes in priorities and requirements.   Remain open and alert to new technology opportunities.  ","You Offer… We have a preference for the following knowledge and experience:   Expertise with Java or any other JVM-based language   Expertise with SQL, RDBMS design and optimization   Expertise in JavaScript full stack development (e.g. React and Node.js)   Expertise with HTML5 and CSS3   Expertise with JUnit, TestNG or any other test framework   Strong knowledge of HTTP and (REST) API design   Working knowledge of MongoDB or other NoSQL databases   We expect these qualifications and work experience:   Your Degree in Computer Science, Mathematics, Computer Engineering or related discipline is preferred but not required.   You have significant work experience in commercial software development, full stack web frameworks and exposure to more recent technologies.   You have theoretical foundations as well as practical experience designing and implementing distributed systems.   You should have a real passion for and experience of Agile working practices like Scrum, with a strong dream to work with baked-in quality disciplines such as TDD, BDD, test automation and DevOps principles.   You have attested ability to work well in delivering complex systems in a dynamic changing environment.   You have the ability to develop intuitive and robust user interfaces which improves user experience.   We value these characteristics:   Pragmatism. You have a deep understanding of, and are highly informed by, the purist approaches. You also have an understanding of what it takes to deliver working software.   Completion. Delivery. Shipping working software with high usability to our customers is what matters most. Your biggest thrill from a big new idea comes when you see it working in the real world.   Collaboration. Building software is primarily a social activity so you will play well with others. Determining the right thing for the team to do is not about winning a debate at all costs.   Diversity. You value everyone's ideas, background, thoughts and culture.   Curiosity. You like to learn. You continually, and deliberately, learn.   Passion. You are passionate about software. You live and breathe software. It is not just a job, it is a way of life.   Credit Suisse is an Equal Opportunity Employer and does not discriminate in its employment decisions on the basis of any protected category. ","$11,600 - $20,833"
A*STAR RESEARCH ENTITIES,Scientist(Experimental Power Grid Centre) [FY18014]," To specialize in classic power system steady-state and dynamic stability analysis and power system status estimation. To specialize in stability analysis for modern power system/Microgrid with high distributed generation integration. To specialize in modelling and simulation for large power system with both transmission and distribution network. Familiar with dynamic power security analysis. Familiar with distributed energy resource integration such as power converter controls for renewables and energy storage. To support industry projects, research grant call projects and internal projects in power system related topics. To prepare detailed technical analysis reports as required. To work with team members to carry out experimentation and research work at EPGC facility. To work independently or with team of researchers to design and develop power system solutions for various projects. "," PhD in Power System Analysis 3-4 years' research and/or industry experience in power system stability analysis (steady-state and dynamic) and power system status estimation. Proficiency with power system modelling and simulation skills with PowerFactory, PSCAD, MATLAB etc. Proficiency in programming with CIC++, Python, MATLAB. Effective learning, communication and project management skills. Willing to take challenges in different ·research field. Effective learning, communication and project management. Ability to work independently as well as in a team. Willing to work in Jurong Island. (Shuttle-buses are available at various locations)  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","$4,500 - $9,000"
AAYTOZEE @ HILLVIEW PTE. LTD.,Occupational Therapist,"The Occupational Therapist helps people with physical disabilities, mental problems or ageing, teaching them to perform day-to-day tasks in order to function independently. Daily tasks include activities necessary for self-care, being productive at work, school, homemaking or volunteering activities, play and leisure. He/She uses activities with specific targets to help these people to participate in activities of daily living. He/She assesses clients to determine the nature of the disorder. He/She designs treatment programmes based on clients' limitations, lifestyle and capabilities. He/She documents patients' progress through treatment plans. ·         Assess and identify the individual needs of clients by using specific assessment tools ·         Formulate, develop and implement appropriate programs to individual learning needs ·         Monitor and evaluate clients’ individualize needs and progress ·         Be part of the Multi-disciplinary team of various disciplines in the program ·         Educate and Train caregivers in carrying out home therapy and program ·         Keep abreast of current research and trends and assist in data collection and support action research                 activities","  ~ Examine patients to assess treatment needs. ~ Create, plan and implement individual treatment programmes for patients. ~ Monitor patients' progression and effectiveness of rehabilitation sessions. ~ Participate in patients case consultations and meetings. ~ Provide professional therapy for patients. ~ Supervise therapy aides and provide in-service education for staff, caregivers and students on clinical attachments.","$6,500 - $7,500"
BRADDELL BROTHERS LLP,Legal Secretary,"Responsibilities include:  Providing daily secretarial and administrative support; Assisting with the preparation of court and legal documents; Handling incoming calls, correspondences and confidential documents; Managing calendars, court hearings, meetings and appointments; Data entry, filing, photocopying, faxing and binding; and Preparing invoices. ",Requirements:  Team player and meticulous with a strong sense of responsibility and initiative; Good organisational skills; Proficient in Microsoft Office applications; Good command of spoken and written English and fluent in at least one other official language of Singapore;  Ability to multi-task; Prior experience in a similar capacity is preferred; and Familiarity with eLitigation will be an advantage. ,Salary undisclosed
